Document,Transcription,Consignment,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Owner Name 1,Owner Name 2,Owner Name 3,Owner Name 4,Owner Name 5,Beneficiaries,Title,Subject/Genre,Subject/ICON,Object Type,Document Type,Object Notes,Inscription,Transaction,Date or Range,Document Origin,Residence,Room,Entry Date,Purchase Loc,Sale Date,Auction House,Sale Location,Purchase Price,KnoedShare Price,Dealer Cost,Sale Price,KnoedSale Price,Seller(s),Buyer(s),Joint Owner(s),Prev Owner(s),Prev Sales,Post Owner(s),Post Sales,Present Loc,Expert,Comm-Priseur,Lugt Number,Number of Lots,Notes,Catalog Loc(s),Photocopies,Editor Notes,Introduction,Archive Record,Related Doc(s),Further Notes,Bibliography,Appraiser,Notary,Pubication,Contributor,Other Invent(s),Annotations,Column 64,Column 65
"Sales Catalog Br-4608, Lot 0024[b]",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"Dogs, in a landscape; and two other landscapes (THIS LOT: Two other landscapes; lot 24[a] by Anonymous-Modern)",,,Painting,,,,Sold,,,,,,,1836 May 13 - 1836 May 14 (This Lot: May 14),Christie's,"London, England, UK",,,,1-11 pounds (for lots 24[a] & 24[b]),,"Wastie, John;  -- from catalog: John Wastie Esq",Lawford;  -- from catalog: Lawford,,,,,,,,,14353,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4645, Lot 0113",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"Dogs Attacking a Wolf, who is standing on a dead stag, with landscape background; painted with wonderful power and truth; a capital picture [These capital pictures were presented to Lord Stowell by Sir Joshua Reynolds] (companion to lot 114)",,,Painting,,,,Sold,,,,,,,1836 Jul 2,Christie's,"London, England, UK",,,,70-7 pounds,,"Stowell, William Scott, 1st Baron;  -- from catalog: Right Hon Lord Stowell",Hornby;  -- from catalog: Hornby 41 Portland Place,,"Reynolds, Joshua [from Catalogue: Sir Joshua Reynolds]",,,,,,,14418,,,The bracketed information in the title appears in lot 114 and refers to lots 113 and 114.,,,,,,,,,,,,,,,
"Sales Catalog Br-4642, Lot 0041",,,"FYT, JAN (Flemish) -- from catalog: Fyt",,,,,,,,,,,Dogs in a landscape; unframed,,,Painting,,,,Bought In,,,,,,,1836 Jun 25,Christie's,"London, England, UK",,,,20 guineas,,"Grosvenor, General;  -- from catalog: Genl Grosvenor",,,,,,,,,,14412,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4680, Lot 0008",,,BEELDEMAKER (Dutch) -- from catalog: Beeldemacker,,,,,,,,,,,Sportsmen with dogs -- a pair,,,Painting,,,,Sold,,,,,,,1836 Nov 26,Christie's,"London, England, UK",,,,1-12 pounds,,Crabtree;  -- from catalog: Crabtree,Money;  -- from catalog: Money,,,,,,,,,14504,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5084, Lot 0083",,,BEELDEMAKER (Dutch) -- from catalog: Beeldemacker,,,,,,,,,,,Dogs chacing stags (companion to lot 84),,,Painting,,,,Sold,,,,,,,1839 Dec 6,Christie's,"London, England, UK",,,,2-10 pounds,,"Buckingham, D. of;  -- from catalog: D of Buckingham","Rutley, John Lewis;  -- from catalog: Rutley",,,,,,,,,15580,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5084, Lot 0096",,,WEENIX (Dutch) -- from catalog: Weenix,,,,,,,,,,,"A peasant holding the horse of a cavalier, who is seated on the ground, with dogs near some Roman ruins; coloured with capital effect of light.",,,Painting,,,,Sold,,,,,,,1839 Dec 6,Christie's,"London, England, UK",,,,5-10 pounds,,"Buckingham, D. of;  -- from catalog: D of Buckingham",Sherard;  -- from catalog: Sherard,,,,,,,,,15580,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5082, Lot 0099",,,"FYT, JAN (Flemish) -- from catalog: Fyt",,,,,,,,,,,"Dogs chasing hares, in a landscape",,,Painting,,,,Sold,,,,,,,1839 Nov 29 - 1839 Nov 30 (This Lot: Nov 29),Christie's,"London, England, UK",,,,3-15 pounds,,"Buckingham, D of;  -- from catalog: D of Buckingham","Rutley, John Lewis;  -- from catalog: Rutley",,,,,,,,,15572,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5082, Lot 0152",,,VOS (Dutch or Flemish) -- from catalog: Vos,,,,,,,,,,,"Portraits of three youths in Roman costume, with dogs, in a landscape",,,Painting,,,,Sold,,,,,,,1839 Nov 29 - 1839 Nov 30 (This Lot: Nov 30),Christie's,"London, England, UK",,,,1-9 pounds,,"Buckingham, D of;  -- from catalog: D of Buckingham",Foster;  -- from catalog: Foster,,,,,,,,,15572,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5082, Lot 0155",,,"BEELDEMAKER (Dutch) -- from catalog: Beeldemacker, 1661",,,,,,,,,,,Greyhounds and other dogs ; well painted,,,Painting,,,1661 (dated?),Sold,,,,,,,1839 Nov 29 - 1839 Nov 30 (This Lot: Nov 30),Christie's,"London, England, UK",,,,2-5 pounds,,"Buckingham, D of;  -- from catalog: D of Buckingham",Money;  -- from catalog: Money,,,,,,,,,15572,,,It is uncertain whether the date is inscribed on the painting.,,,,,,,,,,,,,,,
"Sales Catalog Br-5052, Lot 0015a[H]",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,Dogs and Holy Family,,,Painting,,,,Sold,,,,,,,1839 Jun 21,Christie's,"London, England, UK",,,,0-9 pounds,,"Clarke, Edward Daniel;  -- from catalog: Clarke",Fuller;  -- from catalog: Fuller,,,,,,,,,15494,,,This lot was added in by hand in the CL copy of the catalogue.,,,,,,,,,,,,,,,
"Sales Catalog Br-5049, Lot 0090",,,"FYT, JAN (Flemish) -- from catalog: Fyt",,,,,,,,,,,"Dogs and dead game, in a landscape",,,Painting,,,,Bought In,,,,,,,1839 Jun 15,Christie's,"London, England, UK",,,,10-10 pounds,,"Wright, Francis;  -- from catalog: Wright of Edinburgh",,,,,,,,,,15489,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5024, Lot 0048",,,"WOUWERMAN, P. (Dutch) -- from catalog: P. Wouvermans",,,,,,,,,,,"A landscape, with a figure, and a horse and dogs",,,Painting,,,,Bought In,,,,,,,1839 May 11,Christie's,"London, England, UK",,,,7-10 pounds,,"Yates, George;  -- from catalog: Yates",,,,,,,,,,15440,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5011, Lot 0035",,,"CUYP, AELBERT (Dutch) -- from catalog: Cuyp",,,,,,,,,,,"The Interior of a Stable, with a Cavalier preparing to saddle the Spotted Horse, which the artist has so frequently introduced:  two dogs near them; a brilliant bit, from the collection of Sir Mark Sykes.",,,Painting,,,,Bought In,,,,,,,1839 Apr 20,Christie's,"London, England, UK",,,,2 guineas,,"Stewart, James;  -- from catalog: James Stewart Esq.",,,"Sykes, Mark, Sir [from Catalogue: Sir Mark Sykes]",,,,,,,15394,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5011, Lot 0038",,,"WIJNANTS, JAN (Dutch) -- from catalog: Wynants",,,,,,,,,,,"A River, with a group of Sportsmen reposing, and Dogs, ona sandy road, near an oak",,,Painting,,,,Sold,,,,,,,1839 Apr 20,Christie's,"London, England, UK",,,,47-5 pounds,,"Stewart, James;  -- from catalog: James Stewart Esq.",Johnston;  -- from catalog: Johnstone,,,,,,,,,15394,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5005, Lot 0103",,,"MORLAND, GEORGE (British) -- from catalog: Morland",,,,,,,,,,,"Shepherd boys with their dogs, reposing in a landscape; capitally coloured",,,Painting,,,,Sold,,,,,,,1839 Apr 13,Christie's,"London, England, UK",,,,50-8 pounds,,"Archbutt, Samuel;  -- from catalog: Samuel Archbutt, Esq.",Chittleburgh;  -- from catalog: Chittleburgh,,,,,,,,,15376,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5001, Lot 0083",,,"GLAUBER, JOHANNES (POLIDORO) (Dutch) -- from catalog: Glauber",,,,,,,,,,,Nymphs bathing:  and dogs; Beeldemacker,,,Painting,,,,Unknown,,,,,,,1839 Mar 28,Christie's,"London, England, UK",,,,,,Amiot;  -- from catalog: Amiot,,,,,,,,,,15356,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5001, Lot 0097",,,"VRIES, ROELOF VAN (Dutch), and Weenix -- from catalog: De Vries","WEENIX (Dutch), and Vries, R. -- from catalog: Weenix",,,,,,,,,,"A woody landscape, with cavaliers and ladies reposing with dogs near a river; the figures introduced by Weenix",,,Painting,,,,Sold,,,,,,,1839 Mar 28,Christie's,"London, England, UK",,,,20-9 pounds,,Weaver;  -- from catalog: Weaver,Edwards;  -- from catalog: Edwards,,"Scott, Sir Claude [from Catalogue: Sir Claude Scott]",,,,,,,15356,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5004, Lot 0064",,,"MORLAND, GEORGE (British) -- from catalog: Morland",,,,,,,,,,,Dogs attacking a bear; a capital drawing,,,Painting,,,,Bought In,,,,,,,1839 Apr 12,Christie's,"London, England, UK",,,,1-5 pounds,,Green;  -- from catalog: Green,,,,,,,,,,15375,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4990, Lot 0136",,,"HANNEMAN, ADRIAEN (Dutch) -- from catalog: Hanniman",,,,,,,,,,,"Portraits of two children, with dogs",,,Painting,,,,Sold [?],,,,,,,1839 Mar 16,Christie's,"London, England, UK",,,,5-15 pounds,,"Mellish;  -- from catalog: William Mellish, Esq.","Rutley, John Lewis;  -- from catalog: Rutley",,,,,,,,,15331,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4997, Lot 0002",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hondius",,,,,,,,,,,Dogs attacking a lion,,,Painting,,,,Sold,,,,,,,1839 Mar 23,Christie's,"London, England, UK",,,,1-6 pounds,,"Brickwood, J. Strettell;  -- from catalog: J Strettell Brickwood, Esq",Dixcee or Dupee; Dupee or Dixcee;  -- from catalog: Dixcee; Dupee [or] Dupee,,,,,,,,,15345,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4997, Lot 0077",,,WOUWERMAN (Dutch) -- from catalog: Wouvermans,,,,,,,,,,,"A mountainous landscape, figures with hawks and dogs on a road near a group of beggars, on the right fishermen are drawing a net and a man is watering a white horse, the subject is beautifullly treated",,,Painting,,,,Sold,,,,,,,1839 Mar 23,Christie's,"London, England, UK",,,,18-18 pounds,,"Brickwood, J. Strettell;  -- from catalog: J Strettell Brickwood, Esq","Bromley, William;  -- from catalog: Bromley",,,,,,,,,15345,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4738, Lot 0046",,,"VELÁZQUEZ, DIEGO RODRÍGUEZ DE SILVA Y (Spanish) -- from catalog: Velasquez",,,,,,,,,,,"A Spanish Admiral on horseback, with dogs, a fleet in the distance",,,Painting,,,,Bought In,,,,,,,1837 Apr 28 - 1837 Apr 29 (This Lot: Apr 28),Christie's,"London, England, UK",,,,5-0 pounds,,Norton [?];  -- from catalog: [Norton],,,,,,,,,,14689,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4976, Lot 0026",,,"LINGELBACH, JOHANNES (Dutch) -- from catalog: Lingelback",,,,,,,,,,,"A peasant with dogs; and a cavern, small",,,Painting,,,,Sold,,,,,,,1839 Feb 22,Christie's,"London, England, UK",,,,0-14 pounds,,Schepeler;  -- from catalog: Col: Schepeler,Carruthers;  -- from catalog: Carruthers,,,,,,,,,15293,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4848, Lot 0080",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"A dead buck and bittern, with dogs; very spirited",,,Painting,,,,Sold,,,,,,,1838 Feb 17,Christie's,"London, England, UK",,,,7-0 pounds,,"Maund, W. Herbert;  -- from catalog: W Herbert Maund Esq",Wankin;  -- from catalog: Wankin,,,,,,,,,14941,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4848, Lot 0061",,,COYPEL (French) -- from catalog: Coypel,,,,,,,,,,,"Venus and Adonis, with dogs; a capital gallery picture",,,Painting,,,,Sold,,,,,,,1838 Feb 17,Christie's,"London, England, UK",,,,4-0 pounds,,"Maund, W. Herbert;  -- from catalog: W Herbert Maund Esq","Tuck, William Nathaniel;  -- from catalog: Tuck",,,,,,,,,14941,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4843, Lot 0058",,,"WIJNANTS, JAN (Dutch), and Weenix -- from catalog: Wynants","WEENIX (Dutch), and Wijnants -- from catalog: Weenix, 1690",,,,,,,,,,"A garden-scene, with sculpture and dogs, a dead owl, and a gun and other implements; the distant landscape introduced by Wynants; a capital picture",,,Painting,,,1690 (dated?),Bought In,,,,,,,1838 Feb 10,Christie's,"London, England, UK",,,,91 guineas,,"Sharp, Robert C.;  -- from catalog: Robert C Sharp Esq",,,,,,,,,,14929,,,It is unclear whether the date is inscribed on the painting.,,,,,,,,,,,,,,,
"Sales Catalog Br-4974, Lot 0045",,,"PYNACKER, ADAM (Dutch) -- from catalog: Pynacker",,,,,,,,,,,"A grand landscape with the ruins of a fortress, and a waterfall, a mounted cavalier with sportsmen and dogs on a road; a warm evening effect",,,Painting,,,,Sold,,,,,,,1839 Feb 15 - 1839 Feb 16 (This Lot: Feb 16),Christie's,"London, England, UK",,,,12-12 pounds,,"Bond, Robert;  -- from catalog: Robert Bond, Esq",Pollentine;  -- from catalog: Pollentine,,,,,,,,,15284,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4974, Lot 0046",,,"BOTH, JAN (Dutch) -- from catalog: Both",,,,,,,,,,,"A grand landscape with figures crossing a bridge near a group of trees -- a sunny distance waterfall, a mounted cavalier with sportsmen and dogs on a road; a warm evening effect",,,Painting,,,,Sold,,,,,,,1839 Feb 15 - 1839 Feb 16 (This Lot: Feb 16),Christie's,"London, England, UK",,,,31-10 pounds,,"Bond, Robert;  -- from catalog: Robert Bond, Esq",Sherrard;  -- from catalog: Sherrard,,,,,,,,,15284,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4974, Lot 0071",,,"BERCHEM, NICOLAES PIETERSZ. (Dutch) -- from catalog: Berghem",,,,,,,,,,,"A Grand Italian Landscape, with buildings near a river; two mounted cavaliers are halting on a road, by the side of which are attendants with dogs; a group of trees under a rocky height are seen on the left.  This capital picture is illumined by a brilliant evening sun; from the collection of W. Smith, Esq. M.P",,,Painting,,,,Sold,,,,,,,1839 Feb 15 - 1839 Feb 16 (This Lot: Feb 16),Christie's,"London, England, UK",,,,110-5 pounds,,"Bond, Robert;  -- from catalog: Robert Bond, Esq",Edwards;  -- from catalog: Edwards,,"Smith, W., M.P. [from Catalogue: W. Smith, Esq. M.P]",,,,,,,15284,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4967, Lot 0033",,,"CUYP, AELBERT (Dutch) -- from catalog: Cuyp",,,,,,,,,,,"Mounted peasants and dogs, in a landscape",,,Painting,,,,Sold,,,,,,,1839 Jan 26,Christie's,"London, England, UK",,,,3-8 pounds,,Giles;  -- from catalog: Giles,"Rutley, John Lewis;  -- from catalog: Rutley",,,,,,,,,15267,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4963, Lot 0037",,,"GRYEF, ADRIAEN DE (Flemish) -- from catalog: Gryeff",,,,,,,,,,,"Dogs and dead game, in a landscape",,,Painting,,,,Bought In,,,,,,,1839 Jan 19,Christie's,"London, England, UK",,,,1-13 pounds,,Marcott;  -- from catalog: Marcott,,,,,,,,,,15259,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4967, Lot 0102",,,"MORLAND, GEORGE (British) -- from catalog: Morland",,,,,,,,,,,"A landscape, with dogs running oat of a yard, a man in a smock-frock near a shed, a river and cottages in the distance; a beautiful specimen",,,Painting,,,,Bought In,,,,,,,1839 Jan 26,Christie's,"London, England, UK",,,,15-15 pounds,,Varley;  -- from catalog: Varley,,,,,,,,,,15267,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4963, Lot 0072",,,"BEELDEMAKER, ADRIAEN CORNELISZ. (Dutch) -- from catalog: Beeldermaker",,,,,,,,,,,"Sportsmen and dogs, in a landscape",,,Painting,,,,Bought In,,,,,,,1839 Jan 19,Christie's,"London, England, UK",,,,2-4 pounds,,Marcott;  -- from catalog: Marcott,,,,,,,,,,15259,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4957, Lot 0014",,,"CUYP, AELBERT (Dutch) -- from catalog: Cuyp",,,,,,,,,,,"A boy, with a horse and dogs",,,Painting,,,,Sold,,,,,,,1839 Jan 5,Christie's,"London, England, UK",,,,4-4 pounds,,Sala;  -- from catalog: Sala,"Rutley, John Lewis;  -- from catalog: Rutley",,,,,,,,,15249,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4586, Lot 0027",,,"BACKHUYSEN, LUDOLF (Dutch) -- from catalog: Backhuysen",,,,,,,,,,,"Sea View -- a Calm, supposed to be a View of Scheveling.  On the right of the picture, upon the rising ground, is a Group of Fishwomen with creels ready to convey away the fish.  A man on a Grey Horse, accompanied by two Dogs, is in the act of making a bargain with one of the Fishermen, (who is standing with his hands in his breast, listening indifferently,) either for the cargo of fish, or to convey a quantity of casks to one of the cruizers which are sailing about; the Man is referring to the Woman, supposed to be his wife, who is in her turn addressing the person on Horseback.  An Old Man, and a little Girl are drawing up a Basket containing provisions; a Waggon with two horses going towards the group, closes this side of the picture.  On the left are three Fishing Boats just come in, a number of figures close upon the sea, which is receding, are catching shrimps and sandeels.  In the front of the picture is a beautiful Sandy Beach; the day is serene and the sky full of warmth.  Its predominant t",,,Painting,,"on canvas, 56 x 38",,Passed,,,,,,,1836 Apr 13,Wright (Francis),"Edinburgh, Scotland, UK",,,,,,"Williams, Hugh;  -- from catalog: Hugh Williams Esq",,,"Smith, Alexander [from Catalogue: late Mr. Alexander Smith]",,,,,,,14299,,,,,,,,,,,,,,,,,,
