PDF_Page,Page_Num,Item_Num,On_Web,Artist_Name,Artist_Info,Desc_Num,Description,Title_  Modifier,Handwritten_Notes,Genre,Subject,Object_Type,Material,Dimensions,Image,Notes,Date_of_Sale,Verbatim_Seller,Estimated _Price,Starting _Price,Frame _Price,Selling _Price,Currency,Verbatim_Buyer,Transaction,Main Heading
52,52,6a,YES,Dirck Bouts,,6a.,"""The Adoration Of The Magi"" The Virgin is sitting at the left of the picture, holding the Infant Jesus. She is  dressed in a blue robe, the upper part covered with white, and a white turban on  her head. Behind her stands Joseph, dressed in a short red frock. On a table  beside the Virgin is a vase. One of the wise men is standing, his hands raised  in supplication. In the centre of the picture is another of the wise men coming  through the archway, bearing a present. He holds his right hand to his hat and  in his left hand carries his gift.  The picture is almost divided into three parts, the right-hand part containing  a number of figures. A white horse and also another horse, both without  riders, are in the background. Beyond is a landscape.  Panel, 52 in. long by 36,5 in. high. ",,,Landscape,,Painting,Wood,"52 in long x 36,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
55,55,7,NO,Peeter Levieux Brueghel,Flemish School,7,"Born at Brueghel, near Breda, between 1525 and 1530; died in Brussels about 1569. Pupil of Pieter Koeck van Aalst and of Hieronymus Cock. His specialty was delineating  the Flemish proverbs. He imitated Hieronymus Bosch. He became master of the  Guild in Antwerp in 1551. He went to Italy, and on his return lived at Antwerp until 71563, when he settled in Brussels. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
56,56,7a,YES,Peeter Levieux Brueghel,,7a.,"""A Thief Steals From A Thief"" A thief, disguised as a monk, is passing along the road. An odd-looking  man approaches him stealthily, and cuts from beneath his gown a bag ot  money.  Panel, ~ in. hi diameter, circle.  Purchased from Albert Broise, Paris, 1890. ",,,,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
60,60,8,YES,Peeter Levieux Brueghel,Flemish School,8,"""Fill The Well After The Calf Is Drowned"" A burly peasant is endeavoring to fill the well after he has lost his calf.  The calf's head shows above the dirt.  Panel, 7 in. in diameter, circle.  Purchased from Albert Broise, Paris, 1890. ",,,,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
64,64,9,YES,Peeter Levieux Brueghel,Flemish School,9,"""The Bacon Is Too Good For Your Mouth"" A portly fellow is shown sitting on a stool beside a house. Near him is his  repast on the head of a cask. In one hand he holds a large sausage, and in  the other a knife with which to cut it.  Panel, 7 in. in diameter, circU.  Purchased from Albert Broise, Paris, 1890. ",,,,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
66,66,10,YES,Peeter Levieux Brueghel,Flemish School,10,"""As Full As An Egg"" An old toper is seen astride of a large egg. His head is thrown back, and he  is emptying the contents of a mug into his mouth. The head of a figure is  seen inside the egg.  Panel, 7 in. in diameter, circle.  Purchased from Albert Broise, Paris, 1890. ",,,,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
69,69,11,NO,Agnolo Bronzino,Florentine School,11,"Born at Monticelli, near Florence, in 1502 or 1503; died in Florence, November 23, 1572. His real name was Agnolo di Cosimo Allori, but commonly called II Bronzino. Pupil  of Raffaelino del Garbo, and later of Jacopo da Pontormo. He was a great admirer of  Michael Angelo. Some of his works show his influence, though he was not one of his  imitators. His portraits of members of the Medici family and of many distinguished  men of his time are among his best works and among the finest of the sixteenth century. ",,,Portrait,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
70,70,12,YES,Agnolo Bronzino,,12,"""Portrait Of A Lady"" The lady wears a dark low-cut crimson gown, with lace filled in across the  neck and shoulders. The dress has dark sleeves. She is sitting at a table  covered with a red cloth. An open book is before her.  Panel, 26,5 in. long by 35,25 high. ",,,Portrait,,Painting,Wood,"26,5 in long x 35,25 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
72,72,13,YES,School Of Brussels,,13,"""Virgin And Child"" The Virgin holds the child in her hands, while he is playing with a little bird.  A red mantle is thrown partly over her head and shoulders, and she wears a  black velvet dress trimmed with fur. In front of her on a table is an illuminated  book, and a bunch of grapes. To the left is a window, the glass of which is  composed of disks set in metal frames. On the window-sill is a glass filled with  flowers.  Panel, 10,5 in. long by 12,5 in. high. ",,,,,Painting,Wood,"10,5 in long x 12,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
75,75,14,NO,Francois Clouet,French School,14,"Born in Tours, 1500; died between 1570 and 1572. Son of Jehan Clouet, of Brussels. He was commonly called Janet. Settled first in Tours, and afterward in Paris. Became  painter and valet de chambre to Francis I., in 1541. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
76,76,14,YES,Francois Clouet,,14,"""Portrait Of A Man"" A very Strong face, adorned with a full red beard and mustache, is here pre-  sented. The individual wears a coat of dark fur resembling sealskin, and a  low crown hat of black velvet.  From the collection of Horace Walpole, Strawberry Hill, 1842.  Panel, 5,75 in. long by 6,75 high. ",,,Portrait,,Painting,Wood,"5,75 in long x 6,75 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
79,79,15,NO,Claude Corneille,French School,15,"Born in the early part of the i6th century, and died about 1576. He was called Corneille of Lyons. He enjoyed great reputation for his portraits - which were usually  of small size and pale in color - during the reigns of Francis L, Henry IL, Francis IL,  and Charles Ix. ",,,Portrait,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
80,80,15,YES,Claude Corneille,,15,"Portrait Of Francois, Dauphin De Viennois, Dug De Bretagne"" (Son of King Francis I. and of Claude of France.)  The subject was born at Chateau d'Amboise, February 28, 15 17, and made  Due de Bretagne, at Nantes, August 14, 1532; died by poison, at Valence,  August I, 1536. The picture represents him as a grown-up boy with a pale,  sad face, brown eyes, and the suggestion of a mustache. He wears a dark  coat, which is slightly opened at the breast, and a small lace collar. On his  head is a dark cap of soft material, ornamented with two drooping white  feathers.  From the collection of M. de Gagniers.  Also from the collection of Horace Walpole, Strawberry Hill.  Panel, 6 in. long by 7 in. high. ",,,Portrait,,Painting,Wood,6 in long x 7 in high,,,1910/04/05,,,,,,,,,Paintings by Old Masters
83,83,16,NO,Joost van Craesbecke,Flemish School,16,"Born at Neerlinter in South Bravant in 1608. The date of his death is not known, but it must have been prior to 1662. He was the pot companion and pupil of Adriaen  Brouwer. He was bred a baker and had settled at Antwerp in that capacity at the time  when Brouwer visited that city. He was also a pupil of Rubens. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
84,84,16,YES,Joost van Craesbecke,,16,"""The Alchemist"" A doctor's office is displayed opening into a portico. On the table is an  open book standing against the wall, beside which is a skull, suggesting the  occupant's profession. On the wall four pictures are hung. The doctor is clad  in a bright red gown, and holds in his hand a carafe containing some liquid,  through which he is looking as he holds it to the light. A little boy stands  by his mother, intently gazing at the wise man.  Panel, 19,5 in. long by 25,5 in. high.  Purchased from J. & A. Le Roy, Bruxelles, 1890. ",,,,,Painting,Wood,"19,5 in long x 25,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
88,88,16a,YES,Joost van Craesbecke,,16a.,""" Portrait Of A Man "" This picture represents a man dressed in a dark coat or cassock, with white  neckcloth and cuffs. He is full-faced, with a mustache and slight imperial; and  curly brown hair falls over his neck and shoulders. His left arm rests upon a  table.  Panel, oval, 8,75 in. long by 10,875 in. high. ",,,Portrait,,Painting,Wood,"8,75 in long x 10,875 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
91,91,17,NO,Aelbert Cuyp,Dutch School,17,"Born at Dordrecht, October, 1620; died there and buried November 6, 1691. Land- scape, animal, and marine painter. Son and pupil of Jacob Gerritsz Cuyp.  Lived many years at Dordwijk, near Dordrecht, where as vassal of thecountyship of Hol-  land he had the right to sit in the Supreme Court of Justice. His name was presented  to the stadtholder William Hl in 1672 as a nominee for membership in the Regency of  Dordrecht. In his early years he painted still life, birds, stables, and sometimes portraits  signed "" A. C."" ",,,Still Life,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
92,92,17a,YES,Aelbert Cuyp,,17a.,"""Landscape With Man On Dappled Horse"" The picture shows two men on horseback, - one in the foreground wearing a  red coat sitting on a gray horse, and another in the background on a bav  horse. He wears a dark coat. A man and two dogs stand to the left. Men-  tioned in ""Smith's Catalogue,"" part v., page 334, number 174, as follows : ""A  gentleman in a scarlet jacket, mounted on a spotted gray horse, at the head of  which stands a gentleman in brown dress with two dogs by his side. A third  gentleman is seen on the left on a bay steed galloping from a wood. Now in  the collection of Mr. Gates.""  Signed in the lower right-hand corner : ""A. C.""  Panel, 15,5 long by 11,5 high. ",,,Landscape,,Painting,Wood,"15,5 in long x 11,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
95,95,18,NO,Gerard David,Flemish School,18,"Born at Oudewater about 1450; died in Bruges, August 13, 1523. Took the freedom of the Guild in Bruges in 1484; was its Dean 1501-1502. Appears also in the Guild of  Antwerp, 151 5. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
96,96,18a,YES,Gerard David,,18a.,"""The History Of St. Augustine"" This picture is in three parts. The centre part represents St. Augustine receiv-  ing the Pope's hat. He is sitting in an attitude of suppHcation. A cardinal on  either side holds the hat above his head while two other figures at either side  hold a staff. In front and at the sides kneel two friars dressed in white ; one  stands holding vessels of church worship. The altar is at the rear of the  figures. In this part there are all together eleven figures. At the right of the  picture there are six figures, prominent among them a man in green and a  man in red. Behind them a house and landscape are seen. To the left are  eight figures in the foreground, and four figures in the background. There is  also a house with a cupola adjoining it in the background.  This painting was originally owned by the Comtesse de Beam, Paris.  Panel, 59 in. long by 53 in. high. ",,,Landscape,,Painting,Wood,59 in long x 53 in high,,,1910/04/05,,,,,,,,,Paintings by Old Masters
99,99,19,NO,Balthasar Denner,German School,19,"Born at Altona, November 15, 1685; died in Rostock, April 14, 1749. Studied under obscure masters in Altona and Dantzic ; then in 1707 at the Berlin Academy. In 1709  he began his career by painting the portraits of Dulce Christian Augustus of Holstein and  his sister. At the age of twenty-four his name was famous, and he received numberless  orders from princes and nobles of northern Germany, Denmark, Holland, and England,  which he executed with microscopic accuracy and infinite elaboration of detail. ",,,Portrait,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
100,100,19a,YES,Balthasar Denner,,19a.,"""Head Of An Old Woman This is a life-size bust of an old woman clad in a wine-colored velvet cloak  trimmed with gray fur. Her head is covered with a white kerchief which  also envelops her neck, and covering the kerchief is a blue velvet head-dress.  The dress is open at the throat, showing the aged neck. Her face has many  wrinkles, and her eyes are a light blue, into whose depths one can see as clearly  as if the portrait were life itself.  Signed in the lower right-hand corner: "" Denner.""  Copper, 13 in long by 15 in. high. ",,,Portrait,,Painting,Copper,13 in long x 15 in high,,,1910/04/05,,,,,,,,,Paintings by Old Masters
103,103,20,NO,Gerard Dou,Dutch School ,20,"Dolendo, and also of Rembrandt, in 1628. His work was of a fine character and has always been greatly admired. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
104,104,20a,YES,Gerard Dou,,20a.,"""The Evening School"" An old schoolmaster is shown sitting at a table, busily engaged sharpening a  quill pen. A single candle lights the room. One of his scholars - a little  girl - is studying her book ; another pupil - a boy - is writing ; and still  another boy is holding an unlighted candle to the one already lighted. In the  background a woman holds a lantern. The whole scene is in the master's  finest vein, and can only be fully appreciated when seen under a strong glass.  Panel, half-round top, 9 in. long and 10 in. high. ",,,,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
108,108,21,YES,Gerard Dou,,21,"The Hermit"" This picture is described in Smith's Catalogue Raisonne, Part I. No. 84, as  follows: ""A venerable hermit in a cell perusing a large book. In his left  hand he holds a pair of spectacles, and with his right is raising the leaves of a  book as if about to turn over a page. The trunk of a withered tree fills up the  left of the subject. This production has been considerably enlarged. Originally  all that was shown was the head of the hermit, which was painted with  extraordinary care and fine effect. The exquisiteness of the work, no doubt,  induced the artist to increase the size of the picture, and give it the develop-  ment and finish it now presents. Collection of M. Tronchien, i 801 . Collection  of M. Sereville, 181 i. Now in possession of M. Woodburns.""  In the opinion of the writer the above statement is incorrect, as it is quite evi-  dent that the head was never painted without surroundings. It is more likely  that some part of the picture got very badly injured and the head was cut out,  placed in another panel, and Dou then painted the surroundings as they are  now.  Panel, 12 in. long by 16,5 in. high.  Purchased from Preyer & Co., Amsterdam, Holland, 1890. ",,,,,Painting,Wood,"12 in long x 16,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
111,111,22,YES,Albrecht Durer,German School,22,"Born in Nuremberg, May 21, 147 1 ; died there, April 6, 1518. History and portrait painter and engraver.  Son of a goldsmith, who first instructed him in his trade, and then apprenticed him to the  painter Michael Wolgemuth for three years and a half, after which, in 1490, he visited  Strasburg, Colmar, Basle, and Venice, where he was much impressed by the works of  Andrea Mantegna. Returning home about 1494, he married Agnes Frey, and probably  worked in Wolgemuth's studio until 1497, when he removed to an atelier of his own,  where during the succeeding eight years he produced a large number of pictures, wood-  cuts, and engravings. From 1 505 to 1 507 he lived at Venice, where he felt the charm  of the Italian Renaissance masters, Bellini and Mantegna, whose influence he showed  in his subsequent works. Shortly after, he returned to Nuremberg. From 151a he  worked for the Emperor Maximilian as court painter. In 151 5 Nuremberg assigned  him a yearly pension of 100 gulden.  He attended the coronation of Charles V. at Aix-la-Chapelle, and obtained the appoint-  ment of court painter before his return to Nuremberg, where he continued to work  until his death. ",,,Portrait,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
112,112,22a,YES,Albrecht Durer,,22a.,"""Portrait Of Hans Gunder Of Nuremberg"" The picture represents a portrait of Hans Gunder of Nuremberg painted in the  year 1509. It is a striking picture of head and bust on a red background. His  eyes are light blue ; his coat is open at the neck ; one lapel is partly folded over.  J This picture was purchased from B. Purgen of Nuremberg.  From the collection of H. d'Anslan.  Signed in upper right-hand corner: "" A. D. "" (in monogram).  Panel, 13,5 in. long by 15,5 in. high.  Purchased from Thomas Agnevv & Sons, London, 1901. ",,,Portrait,,Painting,Wood,"13,5 in long x 15,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
115,115,23,NO,Cornelis Dusart,Dutch School,23,"Born in Haarlem April 24, 1660; died there October i, 1704. Genre painter, excel- lent pupil and faithful imitator of Adriaen Van Ostade. Admitted to Painters* Guild  January 10, 1679. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
116,116,23a,YES,Cornelis Dusart,,23a.,"""Peasants Merrymaking"" There is a merrymaking in a large room filled with merrymakers. The fiddler  is standing in an elevated position a little to the left of the centre, and a man  playing a bass viol is standing beside him. A man and a woman are dancing  in the middle of the floor, a dog in front of them and a number of people in  the rear. In the front and to the left is a man sitting on a bench, and between  ^ him and the large stained-glass window stands an older man with a tall hat on  his head. Below the window sit an amorous pair, the woman with a glass in  her hand. The heavy wooden beams support the roof.  From the collection of M. de Potemkins ; also sale of Valentone Roussel, Brus-  sels, I 899.  Signed in lower right-hand corner: **D. 1524.""  Canvas, 16 in. long by 17,75 in. high. ",,,,,Painting,Canvas,"16 in long x 17,75 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
119,119,24,NO,Anton van Dyck,Flemish School,24,"Born in Antwerp, March 22, 1599; died in London, December 9, 1641. At ten years of age he was apprenticed by his father, Francis Van Dyck, linen draper, to Hendrilc  Van Balen, and at sixteen he entered the studio of Rubens as his pupil and assistant,  employed by this great master to prepare black and white drawings for his pictures for  the use of the engravers who worked under his eye and to make cartoons from his  sketches. Van Dyck's talent developed with astonishing rapidity. He obtained access to  James I. through the Countess of Arundel. He painted the king's portrait at Windsor,  In the autumn of 1621 the king gave him a horse and sent him on a journey to Italy,  where Van Dyck took up his residence. Jealousy of his great success made Rome intol-  erable, and he proceeded to Genoa in January, 1624, and remained there until the next  year, when he returned home. Rubens was very fond of him, and bought several of his  pictures, which set the tide running in his favor.  After an unsuccessful visit to England in 1627, where he failed to obtain presentation  at Court for want of favor with the Duke of Buckingham, Van Dyck lived for three  years at Antwerp and Brussels, painting and etching a number of pictures which have  become famous. In 1630 Charles I., who had seen some of his work, invited him to  England. In April, 1632, Van Dyck obeyed the summons, and after he had been  presented to the king by Sir Kenelm Digby, painted his portrait, that of the queen, and  the great picture of the royal family, now at Windsor.  In July he was knighted and appointed court painter, and in October, 1633, had a  pension of;^200 a year assigned to him. During the next nine years he painted nineteen  portraits of the king, seventeen of the queen, as well as many of their children, at a fixed  price of ^50 for half and X^oo ^^^ ^"""" length figures. Living in a style of splendor far  beyond his means. Van Dyck became more and more embarrassed as the troubles of  Charles's reign thickened, until in 1638 he presented his unpaid claims to the king,  including his pension for the past five years, payment for many portraits and for four  cartoons prepared for tapestries at Whitehall, which he valued at the large sum of  j[So,ooo. These claims were but partially satisfied when he went to France in 1641.  Disappointed and in broken health, he returned to England via Antwerp, and on the ist  of December, the birthday of his daughter Giustiniana, he made his will, and on the 9th  he expired. He was buried in St. Paul's Cathedral. ",,,Portrait,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
120,120,24a,YES,Anton van Dyck,,24a.,"Wolfgang, Duke Of Nieubourg "" The subject of the picture is portrayed as a tall man dressed in the style of a  Spanish grandee. The close political connection between Spain and the Neth-  erlands at that period doubtless influenced the dress of the Dutch. He stands  with the thumb of his right hand thrust through a part of the drapery of his  doublet and the thumb of his left through the guard of his sword. He is dressed  entirely in black and has a closely cut beard. He wears broad cuffs and a large  white collar. Behind him to the left is a marble column and to the right some  red drapery. A large dog, a Great Dane, brindle and white, is to the left.  They both stand on a red carpet.  Mentioned in Smith's Catalogue Raisonne ; Part 3, page 18, No. 51. ""A full  length portrait of Wolfgang, Duke of Nieubourg. He is dressed in black. The  right hand holds a ribbon, which is suspended around the neck ; a large dog is  standing bv his side. . . . Done in lithography by Piloti.""  The picture here described in Smith's Catalogue is in the Munich Gallery, and  differs somewhat from the picture in this collection in being not quite so large.  Canvas, 53,5 by 86 in. high. ",,,Portrait,,Painting,Canvas,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
124,124,25,YES,Artist Unknown,School of Van Eyck,25,"""Adoration Of The Magi"" The Virgin is clad in a dress with a blue bodice and a red skirt. Her golden  hair flows over her shoulders, mingling with a red scarf. To the left is a man  in a green coat, over which is a richly embroidered garment trimmed with  ermine. His hat lies upon the floor, and in his hand is a jewel case filled with  jewels towards which the Christchild reaches. Back of him is an Ethiopian  wearing a white turban, in whose hands are a number of rich presents.  On the right stands a man facing this group, his back to the spectator. He  wears a green mantle and carries a jeweled present in his hands. He wears  red stockings, and on his head a red cap. He has a dark-brown beard. In  the background is a landscape with a river.  Panel, 28 in. long by 35,5 in. high, curved top. ",,,Landscape,,Painting,Wood,"28 in long x 35,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
127,127,26,NO,Govaert Flinck,Dutch School,26,"Born at Cleves in 161 5 ; died in Amsterdam i66o. His parents wished to bring him up to mercantile pursuits, but he preferred to be a painter. He was first a pupil of  Lambert Jacobsz at Leeuwarden, About 1650 the Magistrates of Amsterdam engaged  him on the paintings for the town hall. In 1652 he became a Burgher for Amsterdam. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
128,128,26a,YES,Govaert Flinck,,26a.,"Tobias And The Angel"" Tobias is sitting with his head thrown back, that his son, with the guidance of  the angel, may apply restoratives to his eyes that his sight may return. The son  is standing behind him with his left hand resting on his father's head while  with the right he is preparing to administer the medicine. The angel points to  the eyes of Tobias, and with head turned slightly to the left is looking at the  old wife, who holds her husband's hand. On the extreme right in the back-  ground are two children.  Canvas, 65,5 in. long by 58,5 in. high. ",,,,,Painting,Canvas,"65,5 in long x 58,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
131,131,27,YES,"Claude Gellee, Claude Lorrain",French School,27,"Born in Champagne, on the Moselle, in 1600; died in Rome, November 23, 1682. Pupil of his elder brother, a wood engraver at Freiburg in Breisgau. From 1619 to  April 8, 1625, lived at Rome working as an apprentice and valet to Agostino Tassi.  At Nancy he found employment in decorating Chapelle des Carmes for Duke Charles 7Iil Then in 1627 he returned to Rome to remain for the rest of his life. By 1634  Claude had become a celebrity of Rome. In the height of his fame he was patronize7d at  Rome by the King of Spain, the Elector of Bavaria, Prince Doria, the dukes de Bethune  and de Crequy, and many other distinguished persons. From the church of the Trinita  di Monte, where he was buried and where his monument was destroyed by the French  in 1798, his remains were removed in 1840 to the church of S. Luigi in Francesi, at the  suggestion of M. Thiers. ",,,,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
132,132,27a,YES,"Claude Gellee, Claude Lorrain",,27a.,"""Seaport"" An old port is seen with a vessel about to sail. She is on the extreme right,  and four women are on the shore, evidently sad at the departure of the sailors.  A man is sitting on a stone, pointing to the vessel. Three sheep and two goats  are seen lying down or feeding in the foreground. A small boat is sailing off  in the distance. A little to the left of the centre, on a quay, stands a massive  building with four square towers. Four men are hauling on a hawser at the  left, whilst two more are to be seen in a small boat. At the extreme right of  the picture is a large tree ; two classical columns with architrave somewhat  fallen into decay are near by. Hills are in the background.  Canvas, 69 in. long by 49,5 in. high. ",,,,,Painting,Canvas,"69 in long x 49,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
135,135,28,NO,Domenico Ghirlandajo,Florentine School,28,"Born In Florence, 1449; died there, January 11, 1494. Real name was Domenico di Tommaso Curradi di Dosso Bigordi. He took his surname from his father, a gold-  smith, who was called Ghirlandajo (garland-maker), from the wreaths of gold and silver  worn as head-dress ornaments which he made. Called to Rome by Sixtus IV. in 1482, he  painted the "" Calling of Peter and x'\ndrew "" upon the walls of the Sistine Chapel. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
136,136,28a,YES,Domenico Ghirlandajo,,28a.,"""Portrait Of A Young Girl"" A young woman is represented a little less than half length and two-thirds life  size. She leans forward from behind a stone balustrade. The eyes are chest-  nut, the hair is light, parted on the forehead, with a head-dress thrown over  it. A transparent veil covers the bare shoulders. She wears a low bodice of a  bright red color tied with strings, through which a dark-blue chemise is visi-  ble. Over her shoulder is a mantle of a light yellow color. The background  is light blue in tone. The portrait is supposed to be that of the painter's sec-  ond wife, to whom he was married in 1488.  Panel, 12,5 in. long by 16,5 in. high. ",,,Portrait,,Painting,Wood,"12,5 in long x 16,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
